,Points,PPG,TS%,Assists,APG,Rebounds,RPG,Blocks,BPG,Steals,SPG,AllNBA,AllNBA1st,AllNBA2nd,AllNBA3rd,AllDefense,AllDefense1st,AllDefense2nd,MVPs,MVPs2nd,MVPs3rd,MVPs4th,MVPs5th,DPOYs,DPOY2nd,DPOY3rd,DPOY4th,DPOY5th,Championships,FinalsAppearances,FinalsMVPs
LeBron,32893,27.1,58.6,8817,7.3,8990,7.4,929,0.8,1955,1.6,15,12,2,1,6,5,1,4,3,3,2,1,0,2,0,2,1,3,9,3
Jordan,32292,30.1,56.9,5633,5.3,6672,6.2,893,0.8,2514,2.3,11,10,1,0,9,9,0,5,3,2,0,0,1,1,1,1,3,6,6,6
